Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,42.01,26.88,-0.99,9.52,5.09
Depreciation/Depletion,6.46,5.28,6.02,13.34,17.74
Non-Cash Items,-48.16,-34.18,3.02,-11.46,0.03
Cash Taxes Paid,1.90,1.92,2.04,3.47,6.01
Changes in Working Capital,-40.72,-2.52,-10.30,-10.15,19.19
Cash from Operating Activities,-40.42,-4.53,-2.25,1.25,42.04
Capital Expenditures,-3.41,-32.14,-9.85,-20.86,-4.84
"Other Investing Cash Flow Items, Total",14.88,-17.47,34.71,7.10,8.12
Cash from Investing Activities,11.47,-49.60,24.86,-13.76,3.27
Total Cash Dividends Paid,-13.07,-9.80,-19.49,-6.50,-6.50
"Issuance (Retirement) of Stock, Net",0,-0.22,-1.93,0.00,0
Cash from Financing Activities,30.95,-29.10,-21.21,6.05,-20.13
Foreign Exchange Effects,0.08,-0.80,4.71,0.12,-1.42
Net Change in Cash,2.08,-84.04,6.12,-6.35,23.77
