Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,43.09,64.04,51.19,32.60,18.09
"Accounts Receivable - Trade, Net",41.31,54.08,10.48,9.23,28.89
"Total Receivables, Net",41.31,54.08,10.61,9.23,28.89
Prepaid Expenses,3.48,0.07,1.09,7.67,0.86
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,114.67,121.32,65.77,55.75,52.92
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",14.67,3.34,5.79,5.05,4.24
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0.08,0.05
Long Term Investments,0,0,0,0,0.00
Total Assets,130.23,124.66,71.56,60.88,57.21
Accounts Payable,39.30,8.58,5.21,4.52,6.09
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",17.31,11.69,7.63,7.98,8.65
Total Current Liabilities,56.62,20.27,12.84,12.49,14.74
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,0.00,0.00,0.00,0.00,0.00
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,79.58,54.99,12.84,12.49,14.74
"Common Stock, Total",148.31,148.31,148.31,148.31,148.31
Retained Earnings (Accumulated Deficit),-112.85,-102.28,-106.45,-113.15,-122.79
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",15.19,23.64,16.86,13.23,16.96
Total Equity,50.65,69.66,58.72,48.39,42.47
Total Liabilities & Shareholders' Equity,130.23,124.66,71.56,60.88,57.21
Total Common Shares Outstanding,409.80,409.80,409.80,409.80,409.80
"Tangible Book Value per Share, Common Eq",0.12,0.17,0.14,0.12,0.10
