Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,117.18,211.80,118.28,192.26,95.74
Short Term Investments,0.81,0.00,24.10,3.22,2.83
Cash and Short Term Investments,117.99,211.80,142.39,195.48,98.58
"Accounts Receivable - Trade, Net",258.33,249.79,138.87,141.64,150.26
"Total Receivables, Net",288.57,251.45,140.82,144.36,159.28
Prepaid Expenses,14.73,12.47,13.00,11.70,15.74
"Other Current Assets, Total",2.47,3.05,4.59,32.10,27.51
Total Current Assets,578.16,530.59,320.91,406.53,319.82
"Property/Plant/Equipment, Total - Gross",2024.45,2166.38,2293.41,2561.67,2566.04
"Accumulated Depreciation, Total",-779.01,-794.31,-847.34,-934.39,-1001.09
"Property/Plant/Equipment, Total - Net",1245.45,1372.07,1446.07,1627.27,1564.96
"Goodwill, Net",5.02,14.51,14.51,20.02,9.21
"Intangibles, Net",1.14,1.18,0.90,1.00,0.72
Long Term Investments,1333.71,1436.74,1352.90,1462.89,1489.13
Total Assets,3180.20,3371.42,3154.93,3529.01,3388.23
Accounts Payable,67.80,63.38,71.26,72.47,58.87
Accrued Expenses,57.42,68.93,72.38,59.25,36.46
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",19.13,32.10,25.29,27.56,18.24
Total Current Liabilities,426.56,359.40,264.59,316.76,267.92
Total Long Term Debt,710.09,809.19,616.74,793.00,956.01
Total Debt,992.31,1004.18,712.41,950.49,1110.35
Deferred Income Tax,15.22,18.08,17.33,20.39,16.49
"Other Liabilities, Total",0.00,0,0,0,0
Total Liabilities,1238.63,1281.88,1004.82,1229.28,1328.08
"Common Stock, Total",719.69,721.14,722.59,724.04,725.49
Retained Earnings (Accumulated Deficit),940.83,1229.19,1286.88,1271.54,1020.79
Treasury Stock - Common,0,0,0,-0.84,-1.75
Unrealised Gain (Loss),221.48,0.00,0.00,0,0
"Other Equity, Total",59.58,139.21,140.64,304.99,315.61
Total Equity,1941.58,2089.54,2150.11,2299.73,2060.15
Total Liabilities & Shareholders' Equity,3180.20,3371.42,3154.93,3529.01,3388.23
Total Common Shares Outstanding,520.08,520.43,520.79,520.92,520.97
"Tangible Book Value per Share, Common Eq",3.72,3.98,4.10,4.37,3.94
