Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3724.76,3745.08,3785.64,4104.09,4496.21
Total Revenue,3724.76,3745.08,3785.64,4104.09,4496.21
"Selling/General/Admin. Expenses, Total",553.42,430.85,421.41,468.29,432.25
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,782.16,1021.00
"Other Operating Expenses, Total",-15.55,-108.28,-44.76,-68.61,-81.11
Total Operating Expense,3665.32,3476.35,3590.33,3926.50,4289.39
Operating Income,59.44,268.73,195.31,177.59,206.82
"Interest Inc.(Exp.),Net-Non-Op., Total",1.91,1.57,3.46,4.97,-11.75
"Other, Net",0,0,0,0,0
Net Income Before Taxes,61.35,270.29,198.78,182.56,195.07
Provision for Income Taxes,38.52,40.89,38.95,36.79,42.08
Net Income After Taxes,22.83,229.40,159.83,145.77,152.99
Net Income Before Extra. Items,-71.25,36.86,24.76,34.44,45.26
Net Income,-71.25,-71.77,-6.02,34.44,46.75
Income Available to Com Excl ExtraOrd,-71.25,36.86,24.76,34.44,45.26
Income Available to Com Incl ExtraOrd,-71.25,-71.77,-6.02,34.44,46.75
Diluted Net Income,-71.25,-71.77,-6.02,34.44,46.75
Diluted Weighted Average Shares,384.02,374.01,439.20,747.14,747.92
Diluted EPS Excluding ExtraOrd Items,-0.19,0.10,0.06,0.05,0.06
DPS - Common Stock Primary Issue,0.01,0.00,0,0.01,0.01
Diluted Normalised EPS,-0.15,-0.03,0.07,0.88,1.13
