Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.79,2.08,2.52,1.00,-12.86
Depreciation/Depletion,0.94,0.70,0.52,0.77,1.32
Non-Cash Items,-1.55,-0.70,-1.49,-1.28,10.05
Cash Taxes Paid,0.24,0.25,0.35,0.17,0.14
Changes in Working Capital,-2.39,6.02,3.61,-0.23,-1.51
Cash from Operating Activities,-1.92,8.17,5.18,0.27,-2.94
Capital Expenditures,-0.14,-4.56,-4.47,-0.22,-0.54
"Other Investing Cash Flow Items, Total",3.52,2.00,11.83,-3.74,19.82
Cash from Investing Activities,3.38,-2.56,7.36,-3.96,19.28
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,-0.18,-0.08
Cash from Financing Activities,3.56,-18.72,-2.61,-3.86,6.27
Foreign Exchange Effects,0.28,-0.51,0.00,-0.02,-0.04
Net Change in Cash,5.31,-13.61,9.92,-7.57,22.58
