Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,107.41,121.33,153.86,137.20,135.94
Total Revenue,107.41,121.33,153.86,137.20,135.94
"Selling/General/Admin. Expenses, Total",11.16,10.44,8.91,10.16,10.06
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.29,0.37,-0.47,-0.23,9.86
Total Operating Expense,108.36,121.05,152.41,137.92,149.57
Operating Income,-0.95,0.28,1.46,-0.72,-13.63
"Interest Inc.(Exp.),Net-Non-Op., Total",1.86,2.09,1.18,1.84,0.64
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.91,2.37,2.64,1.12,-12.99
Provision for Income Taxes,0.12,0.30,0.12,0.11,-0.12
Net Income After Taxes,0.79,2.08,2.52,1.00,-12.86
Net Income Before Extra. Items,0.79,2.08,2.52,1.00,-12.86
Net Income,0.79,2.08,2.52,1.00,-12.86
Income Available to Com Excl ExtraOrd,0.79,2.08,2.52,1.00,-12.86
Income Available to Com Incl ExtraOrd,0.79,2.08,2.52,1.00,-12.86
Diluted Net Income,0.79,2.08,2.52,1.00,-12.86
Diluted Weighted Average Shares,103.73,103.73,103.73,103.11,103.73
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.02,0.01,-0.12
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.01,0.02,0.02,0.01,-0.06
