Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,3.70,11.65,17.66,15.66,18.10
"Accounts Receivable - Trade, Net",1.43,4.09,3.84,2.46,4.47
"Total Receivables, Net",2.78,6.42,6.87,7.14,6.92
Prepaid Expenses,5.08,0.09,1.12,2.11,2.63
"Other Current Assets, Total",1.42,1.87,3.15,2.86,2.68
Total Current Assets,34.98,43.63,34.51,27.77,30.32
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1332.00,1652.20,3016.20,3201.89,3157.08
Total Assets,1366.98,1695.83,3050.71,3229.65,3187.39
Accounts Payable,2.39,0.86,4.55,4.52,4.92
Accrued Expenses,2.25,2.55,6.10,6.29,5.34
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",6.86,70.06,75.61,75.23,92.85
Total Current Liabilities,21.46,244.14,401.23,271.41,319.18
Total Long Term Debt,509.59,514.90,986.28,1256.27,1215.14
Total Debt,509.59,669.79,1268.20,1418.81,1408.37
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",8.89,6.78,32.42,42.28,54.98
Total Liabilities,539.95,765.82,1419.93,1569.96,1589.29
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",827.03,930.00,1630.78,1659.69,1598.11
Total Equity,827.03,930.00,1630.78,1659.69,1598.11
Total Liabilities & Shareholders' Equity,1366.98,1695.83,3050.71,3229.65,3187.39
Total Common Shares Outstanding,1323.97,1333.30,3185.16,3498.30,3587.63
"Tangible Book Value per Share, Common Eq",0.62,0.70,0.51,0.47,0.45
