Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,112.09,109.70,156.92,253.04,229.92
Total Revenue,112.09,109.70,156.92,253.04,229.92
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,1.47,0.00
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,59.84,60.75,83.97,146.03,145.81
Operating Income,52.24,48.95,72.95,107.02,84.11
"Interest Inc.(Exp.),Net-Non-Op., Total",-45.16,-47.56,-18.03,-99.16,-73.00
"Other, Net",0,0,-283.22,2.09,1.63
Net Income Before Taxes,7.09,1.40,-228.30,9.95,12.74
Provision for Income Taxes,0.00,0.00,0.10,0.03,0.01
Net Income After Taxes,7.09,1.40,-228.40,9.92,12.73
Net Income Before Extra. Items,7.09,0.61,-232.56,6.08,9.69
Net Income,7.09,0.61,-232.56,6.08,9.69
Income Available to Com Excl ExtraOrd,7.09,-0.50,-239.46,-0.82,2.77
Income Available to Com Incl ExtraOrd,7.09,-0.50,-239.46,-0.82,2.77
Diluted Net Income,7.09,-0.50,-239.46,-0.82,2.77
Diluted Weighted Average Shares,1322.88,1323.97,1859.53,3313.96,3533.68
Diluted EPS Excluding ExtraOrd Items,0.01,-0.00,-0.13,-0.00,0.00
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.03,0.03
Diluted Normalised EPS,0.01,-0.00,-0.13,0.00,0.00
