Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.14,2.58,5.90,3.84,6.03
Depreciation/Depletion,3.18,3.37,3.67,4.91,6.72
Non-Cash Items,0.89,1.13,0.90,0.74,1.53
Cash Taxes Paid,0.02,0.30,0.73,0.62,0.66
Changes in Working Capital,-2.65,-4.37,-4.18,-10.71,-10.34
Cash from Operating Activities,1.76,2.91,6.32,-1.20,3.96
Capital Expenditures,-2.39,-0.65,-5.17,-6.03,-7.42
"Other Investing Cash Flow Items, Total",0.02,0.00,-0.74,0.34,0.09
Cash from Investing Activities,-2.36,-0.65,-5.92,-5.69,-7.34
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0.00,1.20,13.20,0.00
Cash from Financing Activities,0.60,-0.89,0.24,10.48,5.02
Foreign Exchange Effects,0.01,0.00,-0.01,-0.04,0.08
Net Change in Cash,0.00,1.37,0.64,3.56,1.72
