Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,15.79,30.86,41.00,40.07,61.40
Total Revenue,15.79,30.86,41.00,40.07,61.40
"Selling/General/Admin. Expenses, Total",2.82,4.26,7.56,8.64,10.03
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.02,-0.14,0.00,0,0
"Other Operating Expenses, Total",0.22,0.41,0.44,1.37,1.49
Total Operating Expense,14.84,26.96,34.17,35.14,53.95
Operating Income,0.95,3.90,6.83,4.94,7.45
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.80,-0.92,-0.93,-1.09,-1.42
"Other, Net",-0.01,-0.40,0.00,0,0
Net Income Before Taxes,0.14,2.58,5.90,3.84,6.03
Provision for Income Taxes,0.04,-1.26,1.22,0.75,0.81
Net Income After Taxes,0.10,3.84,4.69,3.10,5.22
Net Income Before Extra. Items,0.10,3.84,4.69,3.10,5.22
Net Income,0.10,3.84,4.69,3.10,5.22
Income Available to Com Excl ExtraOrd,0.10,3.84,4.69,3.10,5.22
Income Available to Com Incl ExtraOrd,0.10,3.84,4.69,3.10,5.22
Diluted Net Income,0.10,3.84,4.69,3.10,5.22
Diluted Weighted Average Shares,186.24,155.20,175.89,231.23,234.25
Diluted EPS Excluding ExtraOrd Items,0.00,0.02,0.03,0.01,0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,0.02,0.03,0.01,0.02
