Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-23.19,23.92,29.69,-7.66,44.63
Depreciation/Depletion,0.95,0.94,0.77,0.49,0.29
Non-Cash Items,106.12,58.42,55.47,88.20,39.61
Cash Taxes Paid,0.90,1.04,2.78,2.42,2.14
Changes in Working Capital,-2.58,-0.88,-5.46,-1.33,-0.82
Cash from Operating Activities,81.30,82.41,80.47,79.70,83.71
Capital Expenditures,-7.21,-0.12,-0.53,-0.00,0.00
"Other Investing Cash Flow Items, Total",0.03,-2.78,-109.72,-47.79,-28.25
Cash from Investing Activities,-7.18,-2.90,-110.25,-47.79,-28.25
Total Cash Dividends Paid,-63.15,-65.59,-64.31,-61.01,-63.31
"Issuance (Retirement) of Stock, Net",0.00,102.74,0.00,0,50.00
Cash from Financing Activities,-68.65,-78.39,48.82,-51.29,-45.40
Foreign Exchange Effects,0.04,0.29,-0.67,1.31,1.08
Net Change in Cash,5.51,1.41,18.37,-18.08,11.14
