Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0.00,0.01,0.01,0.01
Cash and Short Term Investments,58.73,30.44,56.69,48.97,53.57
"Accounts Receivable - Trade, Net",56.13,53.71,41.02,53.83,121.37
"Total Receivables, Net",58.51,73.48,42.62,57.79,128.18
Prepaid Expenses,0,0,0,0,5.56
"Other Current Assets, Total",4.73,4.96,4.48,4.83,4.27
Total Current Assets,138.78,220.73,218.85,239.34,274.00
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",42.98,38.82,34.19,35.03,33.17
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.42,0.12,0.00,0,0
Long Term Investments,10.94,20.47,13.30,12.18,10.67
Total Assets,241.56,310.75,289.11,302.22,337.22
Accounts Payable,44.37,42.18,27.22,39.17,45.07
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,1.50,0.00,1.05,2.83,2.79
"Other Current liabilities, Total",37.22,20.47,19.98,19.51,39.30
Total Current Liabilities,84.79,64.26,49.95,64.45,89.80
Total Long Term Debt,14.71,99.43,97.97,112.88,151.37
Total Debt,17.91,101.04,100.73,118.65,156.80
Deferred Income Tax,0.24,0.31,0.24,0.32,0.24
"Other Liabilities, Total",8.69,6.38,7.77,6.05,5.81
Total Liabilities,112.17,170.80,154.55,180.91,242.31
"Common Stock, Total",43.97,49.08,49.08,49.08,49.08
Retained Earnings (Accumulated Deficit),85.49,91.07,85.77,72.72,46.28
Treasury Stock - Common,-0.07,-0.57,-0.57,-0.57,-0.57
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,0.36,0.28,0.07,0.12
Total Equity,129.39,139.95,134.57,121.31,94.92
Total Liabilities & Shareholders' Equity,241.56,310.75,289.11,302.22,337.22
Total Common Shares Outstanding,308.00,322.39,322.39,322.39,322.39
"Tangible Book Value per Share, Common Eq",0.42,0.43,0.42,0.38,0.29
