Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,64.65,44.20,66.22,27.87,24.36
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,64.65,44.20,66.22,27.87,24.36
"Accounts Receivable - Trade, Net",4.83,12.08,5.90,3.27,3.10
"Total Receivables, Net",4.83,12.08,5.90,3.27,3.10
Prepaid Expenses,0.59,0.61,0.64,1.52,0.07
"Other Current Assets, Total",10.48,0,0.00,0,0
Total Current Assets,81.72,57.01,72.85,32.71,27.89
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",60.24,60.80,49.89,61.01,45.88
"Goodwill, Net",0.08,0.08,0.08,0.00,0
"Intangibles, Net",24.51,20.47,17.67,15.32,10.28
Long Term Investments,69.49,83.55,91.70,75.31,98.39
Total Assets,268.57,244.36,253.73,194.35,191.86
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.85,0.84,4.69,0.66,0.09
Total Current Liabilities,79.77,59.90,64.95,62.39,26.99
Total Long Term Debt,27.97,20.97,13.35,1.17,0.70
Total Debt,41.24,34.89,20.16,3.49,1.48
Deferred Income Tax,10.53,9.07,8.97,8.65,5.11
"Other Liabilities, Total",0,26.63,25.11,8.21,10.81
Total Liabilities,167.31,162.78,159.23,125.55,97.51
"Common Stock, Total",189.00,189.00,202.93,202.93,221.43
Retained Earnings (Accumulated Deficit),-94.80,-109.25,-105.16,-134.32,-126.25
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),5.39,5.39,5.39,5.39,5.39
"Other Equity, Total",1.66,-3.57,-8.66,-5.20,-6.22
Total Equity,101.26,81.58,94.50,68.81,94.35
Total Liabilities & Shareholders' Equity,268.57,244.36,253.73,194.35,191.86
Total Common Shares Outstanding,625.86,625.86,1136.98,1136.98,2986.50
"Tangible Book Value per Share, Common Eq",0.12,0.10,0.07,0.05,0.03
