Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,103.85,61.00,26.25,34.20,30.77
Total Revenue,103.85,61.00,26.25,34.20,30.77
"Selling/General/Admin. Expenses, Total",8.32,8.43,6.18,6.55,6.56
Depreciation/Amortisation,0.00,0,0,0,0
Unusual Expense (Income),-1.32,34.80,0.03,0.30,-0.26
"Other Operating Expenses, Total",-0.63,-0.66,-0.40,-0.54,-1.89
Total Operating Expense,101.64,88.34,19.67,30.04,27.99
Operating Income,2.21,-27.34,6.58,4.16,2.78
"Interest Inc.(Exp.),Net-Non-Op., Total",-13.47,-12.53,-2.85,-3.27,-3.40
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-11.26,-39.86,3.73,0.89,-0.62
Provision for Income Taxes,0.93,0.73,0.03,0.05,-0.01
Net Income After Taxes,-12.19,-40.59,3.69,0.84,-0.61
Net Income Before Extra. Items,-5.26,-10.19,0.52,0.30,-0.99
Net Income,-5.26,-10.19,0.52,0.30,-0.99
Income Available to Com Excl ExtraOrd,-5.26,-10.19,0.52,0.30,-0.99
Income Available to Com Incl ExtraOrd,-5.26,-10.19,0.52,0.30,-0.99
Diluted Net Income,-5.26,-10.19,0.52,0.30,-0.99
Diluted Weighted Average Shares,1026.65,1026.65,1031.80,1033.75,1038.83
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.01,0.00,0.00,-0.00
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0,0
Diluted Normalised EPS,-0.01,0.01,0.00,0.00,-0.00
