Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,PRESS,PRESS,PRESS,PRESS
Net Income/Starting Line,-23.95,-2.91,-14.16,0.20,1.19
Depreciation/Depletion,0.26,0.22,0.14,0.18,0
Non-Cash Items,21.97,5.20,4.54,-0.31,-0.01
Cash Taxes Paid,0.26,-0.03,0.41,0.05,-0.09
Changes in Working Capital,0.77,-6.45,8.76,-0.39,-2.26
Cash from Operating Activities,-0.96,-3.95,-0.72,-0.31,-1.08
Capital Expenditures,0.00,-0.06,0.00,0,0
"Other Investing Cash Flow Items, Total",9.24,11.34,0.00,0.00,0.00
Cash from Investing Activities,9.24,11.28,0.00,0.00,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-8.08,-7.54,0.68,0.67,0.56
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.21,-0.20,-0.04,0.36,-0.51
