Fiscal Year,2015,2016,2017,2019,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,18 Months,12 Months
Source,ARS,ARS,Interim Report,ARS,ARS
Revenue,64.33,24.97,26.96,184.53,187.99
Total Revenue,64.33,24.97,26.96,184.53,187.99
"Selling/General/Admin. Expenses, Total",6.13,5.30,4.80,13.46,9.16
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.11,0.00,0,-18.68,0.00
"Other Operating Expenses, Total",471.51,2.16,0.38,18.71,-5.87
Total Operating Expense,527.04,27.64,29.16,152.55,147.20
Operating Income,-462.70,-2.67,-2.21,31.98,40.80
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.04,-0.89,-0.93,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-463.74,-3.56,-3.14,31.98,40.80
Provision for Income Taxes,0.76,0.03,0.00,10.52,12.11
Net Income After Taxes,-464.50,-3.59,-3.14,21.46,28.69
Net Income Before Extra. Items,-464.50,-3.59,-3.14,17.33,25.39
Net Income,-464.50,-3.59,-3.14,17.33,25.39
Income Available to Com Excl ExtraOrd,-464.50,-3.59,-3.14,17.33,25.39
Income Available to Com Incl ExtraOrd,-464.50,-3.59,-3.14,17.33,25.39
Diluted Net Income,-464.50,-3.59,-3.14,17.33,25.39
Diluted Weighted Average Shares,17.96,17.96,17.95,43.23,67.95
Diluted EPS Excluding ExtraOrd Items,-25.87,-0.20,-0.17,0.40,0.37
DPS - Common Stock Primary Issue,0,0,0,0.00,0
Diluted Normalised EPS,-25.87,-0.20,-0.17,0.11,0.37
