Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,34.55,43.90,56.95
Short Term Investments,15.33,14.80,25.60,28.84,34.86
Cash and Short Term Investments,45.42,50.58,60.14,72.74,91.80
"Accounts Receivable - Trade, Net",63.56,70.13,68.52,56.83,61.25
"Total Receivables, Net",63.62,70.13,70.40,58.26,62.61
Prepaid Expenses,0.82,0.55,0.62,0.27,2.56
"Other Current Assets, Total",0.02,0.11,1.76,1.86,0.81
Total Current Assets,133.64,145.59,158.07,158.36,180.56
"Property/Plant/Equipment, Total - Gross",0.57,2.56,163.38,184.45,188.44
"Accumulated Depreciation, Total",0,0,-129.78,-129.61,-134.17
"Property/Plant/Equipment, Total - Net",37.04,30.37,33.60,54.84,54.27
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.14,0.12,0.36,0.30,0.32
Long Term Investments,18.44,28.61,27.87,28.91,28.71
Total Assets,197.34,208.85,223.56,244.51,265.77
Accounts Payable,0,0,42.33,33.55,33.11
Accrued Expenses,0,0,15.83,15.25,15.62
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.27,5.73,12.58,8.86,12.43
Total Current Liabilities,69.56,71.89,70.77,60.85,65.57
Total Long Term Debt,0.05,0.03,0.03,20.56,18.97
Total Debt,0.07,0.05,0.06,23.75,23.37
Deferred Income Tax,2.21,2.33,2.65,1.72,2.81
"Other Liabilities, Total",0.69,0.56,0.52,0.47,0.47
Total Liabilities,72.52,74.81,73.97,83.60,87.82
"Common Stock, Total",98.02,98.02,98.02,98.02,98.02
Retained Earnings (Accumulated Deficit),39.96,49.01,63.31,74.63,91.66
Treasury Stock - Common,-13.16,-13.00,-11.74,-11.74,-11.74
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,124.82,134.04,149.60,160.91,177.95
Total Liabilities & Shareholders' Equity,197.34,208.85,223.56,244.51,265.77
Total Common Shares Outstanding,223.84,224.13,226.31,226.31,226.31
"Tangible Book Value per Share, Common Eq",0.56,0.60,0.66,0.71,0.78
