Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,214.74,212.95,218.30,186.72,183.19
Total Revenue,214.74,212.95,218.30,186.72,183.19
"Selling/General/Admin. Expenses, Total",29.80,26.58,29.91,27.36,25.94
Depreciation/Amortisation,0,0.09,0.10,0.10,0.10
Unusual Expense (Income),-0.21,-1.12,-2.44,-0.19,-2.31
"Other Operating Expenses, Total",-2.65,-3.03,-3.50,-4.68,-2.63
Total Operating Expense,200.94,197.11,194.95,167.37,163.98
Operating Income,13.80,15.84,23.35,19.35,19.21
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.00,0.00,0.02
"Other, Net",0,0,0,0,0
Net Income Before Taxes,13.80,15.84,23.35,19.36,19.22
Provision for Income Taxes,2.23,5.96,3.11,2.70,5.36
Net Income After Taxes,11.57,9.87,20.24,16.66,13.87
Net Income Before Extra. Items,11.57,9.87,20.24,16.66,13.87
Net Income,11.57,9.87,20.24,16.66,13.87
Income Available to Com Excl ExtraOrd,11.57,9.87,20.24,16.66,13.87
Income Available to Com Incl ExtraOrd,11.57,9.87,20.24,16.66,13.87
Diluted Net Income,11.57,9.87,20.24,16.66,13.87
Diluted Weighted Average Shares,224.05,225.92,226.79,228.35,227.98
Diluted EPS Excluding ExtraOrd Items,0.05,0.04,0.09,0.07,0.06
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.02,0.02
Diluted Normalised EPS,0.05,0.04,0.08,0.07,0.05
