Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.03,-14.42,-5.28,-9.71,-9.94
Depreciation/Depletion,2.01,1.79,1.74,2.10,1.71
Non-Cash Items,0.38,3.87,1.14,1.73,3.77
Cash Taxes Paid,0.70,-0.00,-0.01,0.24,0.15
Changes in Working Capital,3.26,12.39,1.91,5.77,0.32
Cash from Operating Activities,4.65,3.66,-0.49,0.05,-3.98
Capital Expenditures,-2.02,-1.15,-2.02,-1.41,-0.69
"Other Investing Cash Flow Items, Total",0.01,0.26,0.05,0.01,0.11
Cash from Investing Activities,-2.01,-0.89,-1.97,-1.40,-0.58
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,1.20
Cash from Financing Activities,-7.93,1.82,-1.97,-2.09,5.65
Foreign Exchange Effects,-0.58,-0.10,-0.31,-0.22,0.16
Net Change in Cash,-5.88,4.49,-4.74,-3.66,1.25
