Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 May 2017,31 May 2018,31 May 2019,31 May 2020,31 May 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,2.30,-12.82,-3.55,-25.78,-118.37
Depreciation/Depletion,1.93,2.69,2.27,3.37,3.28
Non-Cash Items,13.40,23.10,8.98,9.13,43.98
Cash Taxes Paid,4.26,3.84,1.97,2.38,0.51
Changes in Working Capital,-45.99,-88.57,18.39,31.40,65.53
Cash from Operating Activities,-28.36,-75.17,26.83,18.86,-5.27
Capital Expenditures,-8.15,-0.54,-2.68,-1.34,-0.16
"Other Investing Cash Flow Items, Total",50.28,15.54,7.78,25.85,1.05
Cash from Investing Activities,42.14,15.01,5.10,24.51,0.89
Total Cash Dividends Paid,-1.51,0,0,0,0
"Issuance (Retirement) of Stock, Net",-0.27,0.00,14.49,0.00,0
Cash from Financing Activities,-11.00,57.16,-4.57,-50.38,-36.31
Foreign Exchange Effects,-1.54,-0.15,-0.10,0.03,0.04
Net Change in Cash,1.23,-3.15,27.26,-6.98,-40.66
