Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Net Income/Starting Line,0.90,1.87,3.42,1.25,3.00
Depreciation/Depletion,1.18,1.18,0.99,0.81,2.35
Non-Cash Items,0.11,0.13,0.15,0.20,0.02
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,0.21,-0.86,1.04,0.65,-1.28
Cash from Operating Activities,2.40,2.32,5.60,2.94,4.17
Capital Expenditures,-0.70,-0.82,-0.67,-2.38,-1.03
"Other Investing Cash Flow Items, Total",0.17,0.00,-1.42,0.01,-1.31
Cash from Investing Activities,-0.53,-0.82,-2.08,-2.37,-2.34
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,6.40,0.00
Cash from Financing Activities,-1.70,-1.34,-0.50,4.89,0.19
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.17,0.16,3.03,5.46,2.02
