Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,25.85,29.44,33.82,36.51,42.78
Total Revenue,25.85,29.44,33.82,36.51,42.78
"Selling/General/Admin. Expenses, Total",13.89,14.61,15.71,18.61,21.09
Depreciation/Amortisation,1.18,1.18,1.00,0.84,2.44
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",9.79,11.67,13.58,15.68,15.99
Total Operating Expense,24.85,27.46,30.29,35.13,39.51
Operating Income,0.99,1.98,3.53,1.38,3.28
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.09,-0.12,-0.11,-0.13,-0.28
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.90,1.87,3.42,1.25,3.00
Provision for Income Taxes,0.07,0.12,-0.06,0.48,0.40
Net Income After Taxes,0.83,1.74,3.48,0.77,2.59
Net Income Before Extra. Items,0.51,1.35,3.08,0.32,2.33
Net Income,0.51,1.35,3.08,0.32,2.33
Income Available to Com Excl ExtraOrd,0.51,1.35,3.08,0.32,2.33
Income Available to Com Incl ExtraOrd,0.51,1.35,3.08,0.32,2.33
Diluted Net Income,0.51,1.35,3.08,0.32,2.33
Diluted Weighted Average Shares,175.89,175.89,175.89,164.57,207.89
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.02,0.00,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,0.00,0.01,0.02,0.00,0.01
