Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,20.84,31.84,14.70,11.56,86.14
Depreciation/Depletion,17.12,17.43,19.43,21.42,23.30
Non-Cash Items,28.19,34.31,9.05,0.78,56.79
Cash Taxes Paid,7.43,12.58,4.04,2.81,4.85
Changes in Working Capital,122.11,-180.46,-22.54,89.76,-5.05
Cash from Operating Activities,188.26,-96.88,20.64,123.53,161.18
Capital Expenditures,-31.34,-29.71,-79.72,-53.20,-21.49
"Other Investing Cash Flow Items, Total",-3.77,5.50,-2.11,5.14,-2.71
Cash from Investing Activities,-35.10,-24.21,-81.84,-48.06,-24.20
Total Cash Dividends Paid,-8.39,-20.25,-6.96,-10.04,-1.65
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-146.39,134.51,44.86,-62.02,-121.40
Foreign Exchange Effects,-2.33,2.58,-1.24,0.08,0.77
Net Change in Cash,4.44,16.01,-17.57,13.54,16.36
