Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3042.79,2926.66,2946.82,2817.26,3445.85
Total Revenue,3042.79,2926.66,2946.82,2817.26,3445.85
"Selling/General/Admin. Expenses, Total",166.52,112.95,112.66,119.65,128.83
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),5.11,-1.81,-2.16,-3.24,27.12
"Other Operating Expenses, Total",-2.08,-1.71,-2.73,-2.74,-6.05
Total Operating Expense,2993.42,2859.42,2919.44,2799.11,3324.63
Operating Income,49.37,67.23,27.37,18.14,121.23
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.68,-10.02,-15.35,-15.02,-8.76
"Other, Net",0,0,0,0,0
Net Income Before Taxes,38.69,57.21,12.03,3.12,112.47
Provision for Income Taxes,17.85,25.37,-2.67,-8.44,26.33
Net Income After Taxes,20.84,31.84,14.70,11.56,86.14
Net Income Before Extra. Items,20.80,32.05,14.79,11.65,86.54
Net Income,20.80,32.05,14.79,11.65,86.54
Income Available to Com Excl ExtraOrd,20.80,32.05,14.79,11.65,86.54
Income Available to Com Incl ExtraOrd,20.80,32.05,14.79,11.65,86.54
Diluted Net Income,20.80,32.05,14.79,11.65,86.54
Diluted Weighted Average Shares,1500.67,1500.67,1500.67,1500.67,1500.67
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.01,0.01,0.06
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.00,0.01
Diluted Normalised EPS,0.02,0.02,0.01,0.01,0.07
