Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,336.97,356.15,283.30,272.35,247.11
Total Revenue,336.97,356.15,283.30,272.35,247.11
"Selling/General/Admin. Expenses, Total",50.12,44.59,38.91,40.66,35.18
Depreciation/Amortisation,0,0,0.89,0.76,0.62
Unusual Expense (Income),-2.76,0.07,-0.96,20.92,11.09
"Other Operating Expenses, Total",-2.60,-4.15,-3.93,-2.79,-7.11
Total Operating Expense,319.48,351.06,285.92,305.79,254.88
Operating Income,17.49,5.09,-2.62,-33.44,-7.77
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.46,-1.51,-9.07
"Other, Net",0,0,0,0,-0.07
Net Income Before Taxes,17.49,5.09,-3.08,-34.95,-16.91
Provision for Income Taxes,4.05,0.85,1.33,2.61,2.37
Net Income After Taxes,13.43,4.24,-4.41,-37.56,-19.29
Net Income Before Extra. Items,13.89,4.36,-4.30,-33.64,-16.62
Net Income,131.36,3.91,-3.86,-33.14,-16.62
Income Available to Com Excl ExtraOrd,13.89,4.36,-4.30,-33.64,-16.62
Income Available to Com Incl ExtraOrd,131.36,3.91,-3.86,-33.14,-16.62
Diluted Net Income,131.36,3.91,-3.86,-33.14,-16.62
Diluted Weighted Average Shares,373.56,373.56,373.56,373.56,373.56
Diluted EPS Excluding ExtraOrd Items,0.04,0.01,-0.01,-0.09,-0.04
DPS - Common Stock Primary Issue,0.05,0.05,0.05,0.05,0.05
Diluted Normalised EPS,0.03,0.01,-0.01,-0.05,-0.03
