Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,43.39,73.06,89.87,100.49,57.16
Short Term Investments,0,0,78.06,120.34,120.26
Cash and Short Term Investments,43.39,73.06,167.93,220.83,177.42
"Accounts Receivable - Trade, Net",278.93,260.79,217.19,650.79,630.40
"Total Receivables, Net",349.10,261.72,218.94,652.01,631.38
Prepaid Expenses,35.41,135.68,157.25,132.47,186.42
"Other Current Assets, Total",16.22,43.45,0.00,0,0
Total Current Assets,939.97,1039.03,1134.91,1136.71,1127.00
"Property/Plant/Equipment, Total - Gross",803.89,0,0,0,0
"Accumulated Depreciation, Total",-584.60,0,0,0,0
"Property/Plant/Equipment, Total - Net",219.29,207.50,225.77,400.47,467.39
"Goodwill, Net",1.93,1.93,1.93,1.93,1.93
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0.37,0.21
Total Assets,1161.19,1248.46,1362.61,1551.31,1596.53
Accounts Payable,129.67,212.66,209.57,184.10,188.03
Accrued Expenses,67.21,212.60,174.37,173.55,227.32
Notes Payable/Short Term Debt,347.62,215.30,261.99,375.24,384.13
"Other Current liabilities, Total",52.83,6.10,6.26,14.99,21.97
Total Current Liabilities,597.33,646.65,652.19,773.03,834.50
Total Long Term Debt,0.00,0.00,67.50,105.31,63.43
Total Debt,347.62,215.30,329.49,505.71,460.60
Deferred Income Tax,2.65,2.65,2.65,2.65,2.65
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,609.41,660.47,733.39,881.00,900.58
"Common Stock, Total",242.46,242.46,242.46,242.46,242.46
Retained Earnings (Accumulated Deficit),300.26,345.53,386.77,427.85,453.50
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-17.43,0,0,0,0
Total Equity,551.78,587.99,629.22,670.31,695.95
Total Liabilities & Shareholders' Equity,1161.19,1248.46,1362.61,1551.31,1596.53
Total Common Shares Outstanding,32.33,32.33,32.33,32.33,32.33
"Tangible Book Value per Share, Common Eq",17.01,18.13,19.40,20.68,21.47
