Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-36.58,15.86,57.41,62.91,33.47
Depreciation/Depletion,46.93,44.63,47.04,68.95,79.70
Non-Cash Items,19.52,13.20,-63.71,22.34,23.64
Cash Taxes Paid,7.95,3.05,5.31,-0.81,1.08
Changes in Working Capital,5.62,142.33,-158.07,-37.98,15.63
Cash from Operating Activities,35.49,216.02,-117.33,116.22,152.44
Capital Expenditures,-71.63,-56.36,-77.87,-150.48,-160.14
"Other Investing Cash Flow Items, Total",433.77,0.06,104.57,-47.67,-0.91
Cash from Investing Activities,362.14,-56.30,26.70,-198.16,-161.05
Total Cash Dividends Paid,-8.32,0.00,0,-9.32,-2.41
"Issuance (Retirement) of Stock, Net",-1.88,0.00,0,0,0
Cash from Financing Activities,-406.07,-133.65,114.19,102.04,-43.99
Foreign Exchange Effects,-3.12,3.60,-6.75,-9.49,9.28
Net Change in Cash,-11.55,29.68,16.81,10.61,-43.33
