Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,23.91,18.09,16.62,47.36,0
Short Term Investments,30.00,27.00,32.50,18.50,0
Cash and Short Term Investments,53.91,45.09,49.12,65.86,192.54
"Accounts Receivable - Trade, Net",2.84,2.84,3.80,5.01,7.63
"Total Receivables, Net",2.97,2.95,4.00,6.88,13.48
Prepaid Expenses,0.31,0.31,0.89,0.37,0
"Other Current Assets, Total",0.11,0.11,0.19,0.16,0.53
Total Current Assets,57.30,48.46,54.20,73.26,206.55
"Property/Plant/Equipment, Total - Gross",0.26,0.31,0.34,0.54,0
"Accumulated Depreciation, Total",-0.10,-0.14,-0.21,-0.21,0
"Property/Plant/Equipment, Total - Net",0.16,0.17,0.13,0.33,0.27
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,6337.00,6682.00,7039.00,8920.00,8737.00
Total Assets,6405.65,6740.81,7100.77,9007.07,8950.58
Accounts Payable,1.15,0.89,1.27,1.13,0
Accrued Expenses,45.56,51.43,52.48,61.42,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",25.15,31.04,27.23,42.27,2.39
Total Current Liabilities,71.85,227.27,130.96,264.80,186.44
Total Long Term Debt,2329.75,2185.53,2300.15,2848.05,2959.63
Total Debt,2329.75,2329.43,2350.14,3008.02,3029.63
Deferred Income Tax,0,0,0,24.97,24.97
"Other Liabilities, Total",46.60,44.65,53.68,82.31,70.58
Total Liabilities,2448.20,2457.44,2484.79,3220.13,3241.62
"Common Stock, Total",2981.75,2995.58,3010.73,3942.86,3959.14
Retained Earnings (Accumulated Deficit),976.33,1284.20,1603.94,1867.40,1767.72
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.63,3.59,1.31,-23.32,-17.89
Total Equity,3957.45,4283.37,4615.98,5786.95,5708.97
Total Liabilities & Shareholders' Equity,6405.65,6740.81,7100.77,9007.07,8950.58
Total Common Shares Outstanding,2882.40,2891.43,2901.00,3307.51,3316.20
"Tangible Book Value per Share, Common Eq",1.37,1.48,1.59,1.75,1.72
