Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,345.84,567.57,582.30,543.10,68.61
Depreciation/Depletion,0.05,0.06,0.07,0.07,0.15
Non-Cash Items,-68.47,-245.33,-251.99,-186.36,284.23
Cash Taxes Paid,5.11,0,0,0,4.00
Changes in Working Capital,10.16,10.01,6.65,13.41,2.45
Cash from Operating Activities,287.57,332.31,337.04,370.22,355.44
Capital Expenditures,-0.11,-0.08,-0.03,-0.22,-0.09
"Other Investing Cash Flow Items, Total",-1852.64,-18.11,-21.44,-904.02,-13.65
Cash from Investing Activities,-1852.75,-18.19,-21.47,-904.24,-13.74
Total Cash Dividends Paid,-201.51,-259.70,-262.57,-279.63,-168.29
"Issuance (Retirement) of Stock, Net",1044.28,0,0,918.56,0.00
Cash from Financing Activities,1555.50,-322.94,-311.54,550.76,-215.01
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-9.68,-8.82,4.03,16.74,126.69
