Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,377.75,433.53,443.89,482.83,479.00
Total Revenue,377.75,433.53,443.89,482.83,479.00
"Selling/General/Admin. Expenses, Total",1.45,1.16,1.10,1.35,1.15
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.65,0,0,2.84,0
Total Operating Expense,171.42,-134.05,-138.41,-60.27,410.39
Operating Income,206.33,567.57,582.30,543.10,68.61
"Interest Inc.(Exp.),Net-Non-Op., Total",139.51,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,345.84,567.57,582.30,543.10,68.61
Provision for Income Taxes,0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,345.84,567.57,582.30,543.10,68.61
Net Income Before Extra. Items,345.84,567.57,582.30,543.10,68.61
Net Income,345.84,567.57,582.30,543.10,68.61
Income Available to Com Excl ExtraOrd,345.84,567.57,582.30,543.10,68.61
Income Available to Com Incl ExtraOrd,345.84,567.57,582.30,543.10,68.61
Diluted Net Income,345.84,567.57,582.30,543.10,68.61
Diluted Weighted Average Shares,2606.88,2888.57,2898.07,3062.01,3313.65
Diluted EPS Excluding ExtraOrd Items,0.13,0.20,0.20,0.18,0.02
DPS - Common Stock Primary Issue,0.07,0.07,0.08,0.07,0.08
Diluted Normalised EPS,0.13,0.20,0.20,0.18,0.02
