Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,170.42,319.58,329.86,285.36,372.30
Total Revenue,170.42,319.58,329.86,285.36,372.30
"Selling/General/Admin. Expenses, Total",38.10,111.47,26.94,8.36,58.48
Depreciation/Amortisation,0.18,0.45,4.46,30.11,0
Unusual Expense (Income),6.82,364.11,-927.77,1.25,-6.77
"Other Operating Expenses, Total",30.47,2422.78,-31.99,-60.24,406.08
Total Operating Expense,189.91,3213.23,-724.81,173.49,726.88
Operating Income,-19.48,-2893.65,1054.67,111.87,-354.58
"Interest Inc.(Exp.),Net-Non-Op., Total",-23.14,-124.94,-36.45,-43.54,-42.78
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-42.62,-3018.59,1018.22,68.33,-397.36
Provision for Income Taxes,0.15,-0.81,0.31,3.11,6.97
Net Income After Taxes,-42.77,-3017.78,1017.90,65.22,-404.32
Net Income Before Extra. Items,-42.01,-3020.05,1014.20,64.35,-404.16
Net Income,-42.01,-3020.05,1014.20,64.35,-404.16
Income Available to Com Excl ExtraOrd,-42.01,-3020.05,1014.20,64.35,-404.16
Income Available to Com Incl ExtraOrd,-42.01,-3020.05,1014.20,64.35,-404.16
Diluted Net Income,-42.01,-3020.05,1014.20,64.35,-404.16
Diluted Weighted Average Shares,2414.12,2414.12,3404.37,7264.68,7257.56
Diluted EPS Excluding ExtraOrd Items,-0.02,-1.25,0.30,0.01,-0.06
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-1.15,0.03,0.01,-0.03
