Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Jan 2017,31 Jan 2018,31 Jan 2019,31 Jan 2020,31 Jan 2021
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,ARS
Net Income/Starting Line,4.09,3.64,0.79,2.09,2.70
Depreciation/Depletion,1.84,2.22,2.24,2.51,2.36
Non-Cash Items,0.39,0.47,2.10,0.01,0.49
Cash Taxes Paid,0.47,1.12,0.27,0.54,0.35
Changes in Working Capital,-0.76,0.02,-3.84,-0.71,-0.79
Cash from Operating Activities,5.55,6.36,1.30,3.90,4.77
Capital Expenditures,-3.44,-1.15,-2.20,-2.66,-0.59
"Other Investing Cash Flow Items, Total",0.15,0.09,0.16,0.75,0.48
Cash from Investing Activities,-3.30,-1.06,-2.04,-1.91,-0.11
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,4.06,0.00
Cash from Financing Activities,-2.26,-2.94,-2.07,-0.12,-0.69
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.01,2.36,-2.81,1.87,3.97
