Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,Interim Report,ARS,ARS,ARS,PRESS
Cash,3.12,4.69,5.79,7.09,6.30
Short Term Investments,0.83,0,0,0,0.00
Cash and Short Term Investments,3.95,4.69,5.79,7.09,6.30
"Accounts Receivable - Trade, Net",8.08,5.89,3.98,2.48,4.88
"Total Receivables, Net",8.08,7.18,4.65,4.02,4.88
Prepaid Expenses,0.22,0.18,0.10,0.03,0.05
"Other Current Assets, Total",0.13,1.09,1.29,0.00,0.06
Total Current Assets,22.38,22.02,22.45,22.54,22.41
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",2.57,2.08,1.05,2.77,1.56
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,20.73,23.31,24.83,25.74,27.01
Total Assets,45.80,49.22,51.30,53.61,53.30
Accounts Payable,4.85,4.13,4.27,2.32,2.21
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,1.75,2.34,3.21,3.37,1.17
"Other Current liabilities, Total",0.46,0.52,0.70,0.87,1.09
Total Current Liabilities,9.97,8.62,12.19,10.05,7.02
Total Long Term Debt,1.86,1.91,0.00,0.51,1.07
Total Debt,6.52,5.87,7.23,7.38,4.79
Deferred Income Tax,0.03,0.00,0.00,0,0
"Other Liabilities, Total",0,0,0,0.04,0.08
Total Liabilities,12.01,10.66,12.19,10.61,8.16
"Common Stock, Total",31.35,31.35,31.35,31.35,31.35
Retained Earnings (Accumulated Deficit),4.34,8.49,5.34,8.70,11.18
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),3.13,3.16,2.80,2.80,2.71
"Other Equity, Total",-5.03,-4.44,-0.38,0.15,-0.10
Total Equity,33.78,38.57,39.10,43.00,45.14
Total Liabilities & Shareholders' Equity,45.80,49.22,51.30,53.61,53.30
Total Common Shares Outstanding,252.63,252.63,252.63,252.63,252.63
"Tangible Book Value per Share, Common Eq",0.13,0.15,0.15,0.17,0.18
