Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,1.34,4.56,4.40,5.66,5.57
Depreciation/Depletion,1.73,1.23,1.28,2.26,2.50
Non-Cash Items,-3.36,-2.75,-4.81,-5.62,-4.05
Cash Taxes Paid,0.26,0.25,0.75,0.62,0.60
Changes in Working Capital,1.14,-1.01,-0.76,-0.76,-1.86
Cash from Operating Activities,0.85,2.03,0.11,1.54,2.16
Capital Expenditures,-0.79,-0.76,-1.65,-1.22,-0.33
"Other Investing Cash Flow Items, Total",0.48,1.01,3.88,5.48,3.30
Cash from Investing Activities,-0.31,0.25,2.23,4.25,2.97
Total Cash Dividends Paid,0,0,-2.53,-1.69,-2.27
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.76,-0.72,-1.42,-4.48,-5.59
Foreign Exchange Effects,0.03,0.08,-0.07,0.13,0.00
Net Change in Cash,-1.20,1.63,0.86,1.43,-0.46
