Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,184.89,151.62,150.91,156.06,112.22
Total Revenue,184.89,151.62,150.91,156.06,112.22
"Selling/General/Admin. Expenses, Total",47.53,39.97,38.05,45.04,39.57
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),9.31,5.57,-0.70,2.06,13.34
"Other Operating Expenses, Total",-1.50,-0.36,-0.33,-0.16,-9.03
Total Operating Expense,104.57,136.06,122.96,115.65,93.00
Operating Income,80.32,15.56,27.95,40.42,19.22
"Interest Inc.(Exp.),Net-Non-Op., Total",0,10.19,7.75,-10.49,-22.58
"Other, Net",-2.39,-0.04,-0.04,0.00,0
Net Income Before Taxes,77.93,25.70,35.66,29.93,-3.36
Provision for Income Taxes,9.48,3.70,2.21,4.15,5.55
Net Income After Taxes,68.44,22.01,33.45,25.78,-8.91
Net Income Before Extra. Items,65.04,21.75,32.94,26.03,1.54
Net Income,65.04,21.75,32.94,26.03,1.54
Income Available to Com Excl ExtraOrd,65.04,21.75,32.94,26.03,1.54
Income Available to Com Incl ExtraOrd,65.04,21.75,32.94,26.03,1.54
Diluted Net Income,65.04,21.75,32.94,26.03,1.54
Diluted Weighted Average Shares,416.82,423.90,431.12,437.78,443.93
Diluted EPS Excluding ExtraOrd Items,0.16,0.05,0.08,0.06,0.00
DPS - Common Stock Primary Issue,0.06,0.06,0.06,0.06,0.03
Diluted Normalised EPS,0.18,0.06,0.07,0.06,0.02
