Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,388.42,412.73,413.55,398.54,269.33
Total Revenue,388.42,412.73,413.55,398.54,269.33
"Selling/General/Admin. Expenses, Total",176.15,189.02,193.37,179.07,66.27
Depreciation/Amortisation,22.39,27.81,29.49,24.57,78.32
Unusual Expense (Income),-46.80,0.00,-1.15,0.00,0
"Other Operating Expenses, Total",0.14,0.14,0.13,0.13,0.13
Total Operating Expense,296.12,381.61,399.42,373.52,251.71
Operating Income,92.30,31.13,14.13,25.02,17.63
"Interest Inc.(Exp.),Net-Non-Op., Total",4.54,3.58,1.84,3.69,-25.16
"Other, Net",-61.92,-81.70,-56.44,-59.03,-75.99
Net Income Before Taxes,34.92,-46.99,-40.39,-30.32,-83.51
Provision for Income Taxes,6.33,14.25,3.55,4.30,1.48
Net Income After Taxes,28.60,-61.23,-43.93,-34.61,-85.00
Net Income Before Extra. Items,30.18,-58.22,-42.67,-34.60,-84.93
Net Income,30.18,-58.22,-42.67,-34.60,-84.93
Income Available to Com Excl ExtraOrd,30.18,-58.22,-42.67,-34.60,-84.93
Income Available to Com Incl ExtraOrd,30.18,-58.22,-42.67,-34.60,-84.93
Diluted Net Income,30.18,-58.22,-42.67,-34.60,-84.93
Diluted Weighted Average Shares,676.28,673.80,673.80,673.80,673.80
Diluted EPS Excluding ExtraOrd Items,0.04,-0.09,-0.06,-0.05,-0.13
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0
Diluted Normalised EPS,0.01,-0.06,-0.05,-0.04,-0.07
