Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.25,-0.36,6.81,9.54,23.36
Depreciation/Depletion,0.02,0.01,0.33,2.64,3.14
Non-Cash Items,0.67,0.40,-0.02,0.68,0.39
Cash Taxes Paid,0.53,0.28,1.03,2.06,4.09
Changes in Working Capital,0.58,-0.51,-0.82,-3.67,-11.10
Cash from Operating Activities,1.02,-0.46,6.29,9.19,15.79
Capital Expenditures,-2.40,-10.89,-6.44,-6.35,-3.87
"Other Investing Cash Flow Items, Total",0.01,0.09,0.04,0.18,-8.83
Cash from Investing Activities,-2.39,-10.80,-6.40,-6.18,-12.70
Total Cash Dividends Paid,0,0,0,-1.33,-0.57
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,11.10,0.00
Cash from Financing Activities,1.18,11.25,2.19,5.54,-5.91
Foreign Exchange Effects,-0.00,0.00,0.00,-0.43,0.38
Net Change in Cash,-0.20,-0.00,2.09,8.11,-2.44
