Fiscal Year,2016,2017,2018,2020,2021
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Mar 2020,31 Mar 2021
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.77,0.99,1.17,4.65,3.86
Depreciation/Depletion,0.03,0.03,0.05,0.69,0.59
Non-Cash Items,0.01,0.03,0.02,0.05,-1.33
Cash Taxes Paid,0.02,0.04,0.07,0.30,0.54
Changes in Working Capital,-0.17,0.08,-0.27,-1.51,-0.18
Cash from Operating Activities,0.64,1.13,1.00,3.94,3.04
Capital Expenditures,-0.06,0.00,-0.02,-0.04,-0.13
"Other Investing Cash Flow Items, Total",0.00,0.55,-1.21,-3.44,-2.24
Cash from Investing Activities,-0.06,0.55,-1.22,-3.49,-2.37
Total Cash Dividends Paid,0,0,0,-3.31,-1.10
"Issuance (Retirement) of Stock, Net",0.01,2.05,6.50,0,0
Cash from Financing Activities,-0.45,0.98,6.29,-4.32,0.73
Foreign Exchange Effects,0,0,0,0,0.00
Net Change in Cash,0.14,2.65,6.07,-3.87,1.39
