Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.86,18.89,21.94,21.12,31.22
Depreciation/Depletion,0.41,0.37,0.75,3.80,3.71
Non-Cash Items,1.68,4.44,3.93,4.33,6.91
Cash Taxes Paid,1.01,1.12,2.97,4.97,3.24
Changes in Working Capital,-0.90,-0.02,-3.42,0.05,0.09
Cash from Operating Activities,10.05,23.68,23.22,29.33,41.95
Capital Expenditures,-0.29,-1.47,-2.06,-1.88,-0.49
"Other Investing Cash Flow Items, Total",0.09,0.09,0.74,0.84,0.72
Cash from Investing Activities,-0.20,-1.38,-1.32,-1.04,0.23
Total Cash Dividends Paid,0,0,-11.23,-17.58,-13.88
"Issuance (Retirement) of Stock, Net",0,0.00,40.89,0.00,0
Cash from Financing Activities,-6.67,-10.76,26.09,-22.35,-17.99
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,3.18,11.55,48.00,5.94,24.19
