Fiscal Year,2010,2011,2012,2013,2014
Period Ended,28 Sep 2010,28 Sep 2011,28 Sep 2012,28 Sep 2013,28 Sep 2014
Source,ARS,ARS,ARS,ARS,ARS
Cash,251.73,218.07,445.85,615.77,1025.61
Short Term Investments,0,0,0,0.00,166.81
Cash and Short Term Investments,251.73,218.07,445.85,615.77,1192.42
"Accounts Receivable - Trade, Net",1312.14,2013.02,2247.31,1832.86,1721.59
"Total Receivables, Net",2058.97,3070.15,2484.64,2279.49,2712.68
Prepaid Expenses,471.46,397.33,190.28,356.41,381.74
"Other Current Assets, Total",44.84,488.01,0.21,0.11,9.70
Total Current Assets,6501.87,9589.23,12160.64,11313.20,14928.32
"Property/Plant/Equipment, Total - Gross",4974.78,6171.17,4039.43,8545.90,7840.65
"Accumulated Depreciation, Total",-934.38,-1444.11,-1454.70,-3262.85,-2794.73
"Property/Plant/Equipment, Total - Net",4040.39,4727.06,4572.85,5283.05,5045.92
"Goodwill, Net",2883.42,2903.38,2952.46,2952.46,2952.46
"Intangibles, Net",1441.91,1460.63,1826.63,9539.56,9539.56
Long Term Investments,65.49,364.61,589.85,620.14,92.37
Total Assets,16165.41,20420.49,23305.38,31495.33,32726.53
Accounts Payable,0,0,0,3.49,52.60
Accrued Expenses,64.54,41.91,64.94,86.61,93.59
Notes Payable/Short Term Debt,4.27,3.65,0.00,7.06,0.00
"Other Current liabilities, Total",67.43,78.10,274.20,82.14,98.70
Total Current Liabilities,3763.22,6018.84,5757.57,9046.64,6842.36
Total Long Term Debt,2637.93,3549.61,4645.95,5642.54,8230.28
Total Debt,5958.77,9072.12,9795.34,14298.96,14577.90
Deferred Income Tax,524.18,489.74,473.39,2468.82,2398.26
"Other Liabilities, Total",0,0,0,275.46,193.98
Total Liabilities,9190.04,12620.74,13617.88,21120.93,21472.45
"Common Stock, Total",721.11,832.69,1325.01,1325.01,1325.01
Retained Earnings (Accumulated Deficit),3355.15,3548.34,3995.72,4653.35,5526.77
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),29.09,-63.33,52.84,63.86,68.14
"Other Equity, Total",33.59,28.52,-4.53,13.73,15.71
Total Equity,6975.37,7799.75,9687.49,10374.40,11254.08
Total Liabilities & Shareholders' Equity,16165.41,20420.49,23305.38,31495.33,32726.53
Total Common Shares Outstanding,3286.16,3695.52,4988.95,4988.95,4988.95
"Tangible Book Value per Share, Common Eq",0.81,0.93,0.98,-0.42,-0.25
