Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,26.01,202.20,357.22,470.33,369.64
Short Term Investments,131.43,148.38,89.69,26.44,28.29
Cash and Short Term Investments,157.44,350.58,446.91,496.77,397.93
"Accounts Receivable - Trade, Net",3.08,1.41,0.00,57.38,15.88
"Total Receivables, Net",126.51,9.18,26.43,107.40,43.23
Prepaid Expenses,308.14,157.17,310.44,526.77,263.82
"Other Current Assets, Total",1426.49,240.23,586.33,119.66,387.48
Total Current Assets,3739.70,1545.71,2116.90,2388.37,1526.98
"Property/Plant/Equipment, Total - Gross",100.22,0,0,0,0
"Accumulated Depreciation, Total",-23.68,0,0,0,0
"Property/Plant/Equipment, Total - Net",76.53,37.04,47.79,49.08,56.82
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,783.38,40.84,44.49,84.49,83.94
Total Assets,4627.92,1630.37,2215.55,2528.30,1673.40
Accounts Payable,125.18,18.81,43.25,8.29,3.86
Accrued Expenses,468.12,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",794.14,58.01,54.42,61.79,214.51
Total Current Liabilities,1719.70,975.19,1540.90,1772.93,677.33
Total Long Term Debt,604.57,0.00,0.00,0.00,0.00
Total Debt,936.82,100.41,1077.54,1275.42,241.96
Deferred Income Tax,83.70,3.75,3.79,4.73,4.63
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,2995.27,984.59,1550.35,1792.62,702.55
"Common Stock, Total",313.45,52.24,52.24,52.24,52.24
Retained Earnings (Accumulated Deficit),1148.09,593.54,612.96,683.44,918.61
Treasury Stock - Common,-12.82,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-19.31,0,0,0,0
Total Equity,1632.66,645.79,665.20,735.68,970.85
Total Liabilities & Shareholders' Equity,4627.92,1630.37,2215.55,2528.30,1673.40
Total Common Shares Outstanding,512.31,512.31,512.31,512.31,512.31
"Tangible Book Value per Share, Common Eq",3.19,1.26,1.30,1.44,1.90
