Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-28.82,30.41,11.61,74.72,-244.30
Depreciation/Depletion,5.97,3.19,3.22,4.46,37.85
Non-Cash Items,14.40,74.98,81.95,78.96,170.74
Cash Taxes Paid,0.44,35.73,32.57,-46.39,2.87
Changes in Working Capital,29.37,-238.51,-205.45,25.42,107.27
Cash from Operating Activities,20.93,-129.93,-108.66,183.57,71.56
Capital Expenditures,-1.61,-33.58,-62.67,-88.65,-23.51
"Other Investing Cash Flow Items, Total",0.00,1.40,3.96,0.92,0.08
Cash from Investing Activities,-1.61,-32.18,-58.71,-87.73,-23.44
Total Cash Dividends Paid,0,0.00,-2.14,-1.05,-0.57
"Issuance (Retirement) of Stock, Net",0,82.92,0,0.00,0
Cash from Financing Activities,-14.60,163.48,140.59,-127.78,-53.73
Foreign Exchange Effects,0.23,0.26,-0.13,0.40,0.22
Net Change in Cash,4.95,1.63,-26.90,-31.55,-5.38
