Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,11.73,10.71,8.23,4.59,6.79
Short Term Investments,0,1.20,0.00,0,0
Cash and Short Term Investments,11.73,11.91,8.23,4.59,6.79
"Accounts Receivable - Trade, Net",12.27,13.96,11.27,9.74,9.70
"Total Receivables, Net",43.74,26.62,13.12,10.66,10.32
Prepaid Expenses,0.74,1.14,0.83,0.63,0.56
"Other Current Assets, Total",0.01,0.00,0.00,0,0
Total Current Assets,56.39,39.86,22.36,16.43,18.03
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",51.20,58.08,42.22,27.39,18.00
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.33,1.30,0.17,0.09,0.06
Long Term Investments,0.00,0.00,0.00,0,0
Total Assets,120.74,108.65,72.28,48.92,39.84
Accounts Payable,16.36,18.30,15.03,9.75,9.64
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,2.08,0.00,0.00,9.09,1.50
"Other Current liabilities, Total",29.29,20.56,12.32,15.39,10.26
Total Current Liabilities,48.54,39.73,33.79,39.87,26.56
Total Long Term Debt,3.07,12.04,10.14,11.46,10.21
Total Debt,5.97,12.91,16.59,26.19,16.87
Deferred Income Tax,2.73,2.75,2.93,0.00,0.07
"Other Liabilities, Total",16.31,17.88,21.23,17.65,9.95
Total Liabilities,68.00,68.01,60.06,61.02,39.43
"Common Stock, Total",137.89,138.23,148.18,148.37,148.37
Retained Earnings (Accumulated Deficit),-84.21,-96.66,-135.03,-159.53,-147.02
Treasury Stock - Common,-0.94,-0.94,-0.94,-0.94,-0.94
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,52.74,40.64,12.22,-12.10,0.41
Total Liabilities & Shareholders' Equity,120.74,108.65,72.28,48.92,39.84
Total Common Shares Outstanding,545.52,547.75,645.87,646.87,646.87
"Tangible Book Value per Share, Common Eq",0.09,0.07,0.02,-0.02,0.00
