Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,372.50,574.34,634.41,124.27,-264.56
Depreciation/Depletion,0.41,0.72,0.82,1.24,1.31
Non-Cash Items,-75.33,-273.83,-297.72,159.78,605.85
Cash Taxes Paid,14.90,37.87,28.38,20.31,25.40
Changes in Working Capital,-16.37,5.17,-28.54,-19.52,-29.49
Cash from Operating Activities,281.22,306.40,308.97,265.77,313.11
Capital Expenditures,-0.74,-1.63,-1.43,-1.69,-0.96
"Other Investing Cash Flow Items, Total",-6.24,-3.05,-735.10,-474.56,-132.90
Cash from Investing Activities,-6.98,-4.68,-736.53,-476.25,-133.86
Total Cash Dividends Paid,-204.33,-208.74,-285.06,-216.20,-84.23
"Issuance (Retirement) of Stock, Net",0,0.00,330.30,144.78,0.00
Cash from Financing Activities,-198.93,-304.15,426.37,221.30,-136.22
Foreign Exchange Effects,-1.35,-0.01,-1.62,2.22,-1.96
Net Change in Cash,73.96,-2.44,-2.81,13.04,41.07
