Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,350.63,355.03,408.69,354.48,391.42
Total Revenue,350.63,355.03,408.69,354.48,391.42
"Selling/General/Admin. Expenses, Total",1.40,1.47,1.50,2.11,2.46
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",7.33,0,0,0,0
Total Operating Expense,154.10,84.21,103.74,117.86,597.74
Operating Income,196.53,270.82,304.95,236.62,-206.33
"Interest Inc.(Exp.),Net-Non-Op., Total",216.05,351.08,394.85,-71.45,-63.47
"Other, Net",0,-3.65,-3.97,-3.45,41.70
Net Income Before Taxes,412.58,618.25,695.83,161.72,-228.10
Provision for Income Taxes,40.08,43.91,61.42,37.45,36.46
Net Income After Taxes,372.50,574.34,634.41,124.27,-264.56
Net Income Before Extra. Items,372.50,574.34,633.93,123.56,-265.79
Net Income,372.50,574.34,633.93,123.56,-265.79
Income Available to Com Excl ExtraOrd,372.50,574.34,633.93,123.56,-265.79
Income Available to Com Incl ExtraOrd,372.50,574.34,633.93,123.56,-265.79
Diluted Net Income,372.50,574.34,633.93,123.56,-265.79
Diluted Weighted Average Shares,2777.47,2810.99,3124.20,3199.14,3382.63
Diluted EPS Excluding ExtraOrd Items,0.13,0.20,0.20,0.04,-0.08
DPS - Common Stock Primary Issue,0.07,0.07,0.08,0.07,0.06
Diluted Normalised EPS,0.13,0.20,0.20,0.04,-0.08
