Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,582.94,527.18,555.88,465.79,384.00
Total Revenue,582.94,527.18,555.88,465.79,384.00
"Selling/General/Admin. Expenses, Total",49.40,30.69,29.75,37.61,31.76
Depreciation/Amortisation,4.71,5.63,6.62,8.08,8.12
Unusual Expense (Income),-1.50,3.08,1.55,5.53,-1.78
"Other Operating Expenses, Total",3.96,21.98,37.05,31.33,5.97
Total Operating Expense,511.41,484.70,454.77,354.28,267.01
Operating Income,71.53,42.48,101.12,111.51,116.99
"Interest Inc.(Exp.),Net-Non-Op., Total",23.41,15.88,-0.23,18.81,-19.91
"Other, Net",0,-0.89,-1.24,-1.00,-1.13
Net Income Before Taxes,94.94,57.46,99.65,129.32,95.96
Provision for Income Taxes,16.36,5.88,16.98,28.97,24.78
Net Income After Taxes,78.58,51.59,82.67,100.35,71.18
Net Income Before Extra. Items,67.29,46.43,71.72,84.37,51.48
Net Income,67.29,46.43,71.72,84.37,51.48
Income Available to Com Excl ExtraOrd,67.29,46.43,71.72,84.37,51.48
Income Available to Com Incl ExtraOrd,67.29,46.43,71.72,84.37,51.48
Diluted Net Income,67.29,46.43,71.72,84.37,51.48
Diluted Weighted Average Shares,408.10,408.10,406.95,407.46,406.91
Diluted EPS Excluding ExtraOrd Items,0.16,0.11,0.18,0.21,0.13
DPS - Common Stock Primary Issue,0.06,0.06,0.06,0.06,0.06
Diluted Normalised EPS,0.16,0.12,0.18,0.22,0.12
