Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Apr 2016,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,17.43,21.69,21.88,13.71,25.73
"Accounts Receivable - Trade, Net",67.62,67.47,60.19,54.72,48.29
"Total Receivables, Net",71.85,72.13,64.69,57.80,53.25
Prepaid Expenses,2.98,3.89,2.53,2.50,2.44
"Other Current Assets, Total",0.07,0.07,0.10,0.05,0.31
Total Current Assets,177.34,175.65,177.10,165.91,171.80
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",70.63,70.68,69.16,63.45,67.04
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,14.53,17.10,17.29,16.94,16.97
Total Assets,264.96,266.54,266.62,249.08,258.47
Accounts Payable,17.18,20.47,26.40,17.45,14.65
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,49.69,50.81,41.35,42.78,40.95
"Other Current liabilities, Total",19.00,22.16,20.83,17.69,17.61
Total Current Liabilities,97.32,112.22,104.70,94.38,109.44
Total Long Term Debt,48.39,28.26,33.18,28.35,29.49
Total Debt,109.52,97.85,90.65,87.59,106.67
Deferred Income Tax,0.93,1.30,2.03,1.89,1.70
"Other Liabilities, Total",0.82,0.86,0.86,0.83,0.83
Total Liabilities,147.46,142.64,140.77,125.46,141.47
"Common Stock, Total",35.72,35.72,35.72,35.90,36.07
Retained Earnings (Accumulated Deficit),81.78,88.17,90.12,87.73,80.94
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,117.51,123.89,125.84,123.63,117.01
Total Liabilities & Shareholders' Equity,264.96,266.54,266.62,249.08,258.47
Total Common Shares Outstanding,235.59,235.59,236.19,236.19,236.79
"Tangible Book Value per Share, Common Eq",0.50,0.53,0.53,0.52,0.49
