Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,111.83,125.53,119.46,115.15,112.10
Short Term Investments,393.98,247.75,230.40,434.05,767.75
Cash and Short Term Investments,505.80,373.28,349.86,549.21,879.85
"Accounts Receivable - Trade, Net",258.85,286.18,283.37,270.62,203.22
"Total Receivables, Net",277.96,303.15,306.19,388.80,292.71
Prepaid Expenses,17.37,16.17,19.36,23.05,20.15
"Other Current Assets, Total",33.47,19.90,10.52,0.00,0
Total Current Assets,856.51,735.02,710.25,1031.52,1322.76
"Property/Plant/Equipment, Total - Gross",1486.28,1570.05,1658.96,1990.56,1972.72
"Accumulated Depreciation, Total",-947.63,-1009.94,-1079.80,-1182.31,-1265.33
"Property/Plant/Equipment, Total - Net",538.66,560.11,579.16,808.25,707.39
"Goodwill, Net",130.98,130.70,245.63,298.26,276.34
"Intangibles, Net",26.96,26.81,104.92,125.36,134.34
Long Term Investments,706.54,877.69,752.18,717.73,593.22
Total Assets,2279.40,2348.36,2408.43,3009.83,3091.82
Accounts Payable,146.05,166.56,161.64,178.99,0
Accrued Expenses,147.87,147.44,145.48,171.71,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",105.55,78.42,82.04,79.67,47.43
Total Current Liabilities,409.90,402.55,389.31,562.21,565.29
Total Long Term Debt,98.20,96.29,95.59,492.59,714.10
Total Debt,108.63,106.42,95.73,624.44,873.43
Deferred Income Tax,55.45,61.64,87.61,90.70,68.68
"Other Liabilities, Total",24.67,21.27,18.80,58.81,44.96
Total Liabilities,675.92,714.28,759.20,1392.34,1545.48
"Common Stock, Total",367.95,367.95,367.95,367.95,367.95
Retained Earnings (Accumulated Deficit),1376.97,1442.44,1474.99,1423.13,1347.42
Treasury Stock - Common,-30.37,-32.81,-43.00,-26.02,-18.80
Unrealised Gain (Loss),0.06,-0.08,-0.01,-0.04,0
"Other Equity, Total",-111.13,-143.41,-150.70,-147.53,-150.22
Total Equity,1603.48,1634.08,1649.23,1617.49,1546.34
Total Liabilities & Shareholders' Equity,2279.40,2348.36,2408.43,3009.83,3091.82
Total Common Shares Outstanding,1114.51,1115.85,1114.36,1118.19,1119.69
"Tangible Book Value per Share, Common Eq",1.30,1.32,1.17,1.07,1.01
