Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,49.17,50.62,44.14,40.33,-1.67
Depreciation/Depletion,10.74,10.89,7.57,8.46,9.46
Non-Cash Items,20.09,19.80,19.07,16.51,-0.50
Cash Taxes Paid,16.63,17.15,17.99,16.06,4.16
Changes in Working Capital,-13.55,-15.84,-19.96,-15.68,-6.80
Cash from Operating Activities,67.07,66.08,51.43,50.17,0.50
Capital Expenditures,-3.75,-2.59,-4.23,-5.65,-5.57
"Other Investing Cash Flow Items, Total",5.57,2.42,5.36,4.47,6.01
Cash from Investing Activities,1.81,-0.17,1.13,-1.18,0.44
Total Cash Dividends Paid,-21.48,-21.51,-21.56,-30.24,-21.55
"Issuance (Retirement) of Stock, Net",0.65,0.06,-0.75,1.07,-3.88
Cash from Financing Activities,-35.95,-36.32,-37.18,-46.54,-31.12
Foreign Exchange Effects,-5.23,-2.42,-4.10,-4.69,8.40
Net Change in Cash,27.71,27.18,11.28,-2.24,-21.78
