Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-234.64,-134.83,-133.16,-171.35,-209.40
Depreciation/Depletion,105.10,48.56,49.87,87.25,40.75
Non-Cash Items,143.66,120.58,103.54,146.25,165.81
Cash Taxes Paid,2.94,6.46,6.26,5.80,3.18
Changes in Working Capital,-18.42,-11.23,15.05,-37.36,14.37
Cash from Operating Activities,-4.31,23.08,35.30,24.79,11.54
Capital Expenditures,-77.90,-56.61,-54.29,-47.61,-72.67
"Other Investing Cash Flow Items, Total",0.82,22.11,9.08,4.19,15.14
Cash from Investing Activities,-77.08,-34.50,-45.21,-43.42,-57.53
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,0,0
Cash from Financing Activities,91.21,39.47,13.76,-5.59,43.84
Foreign Exchange Effects,-0.16,-0.02,-0.06,-0.02,0.92
Net Change in Cash,9.67,28.03,3.78,-24.25,-1.23
