Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,127.57,157.16,137.86,148.82,-64.02
Depreciation/Depletion,0.21,0.21,0.21,0.19,0.22
Non-Cash Items,31.73,6.95,26.27,27.13,237.28
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,-1.86,-0.31,-0.12,4.34,-10.29
Cash from Operating Activities,160.02,165.20,164.84,180.47,166.31
Capital Expenditures,-0.12,-0.05,-0.02,-0.07,-0.18
"Other Investing Cash Flow Items, Total",-7.65,-6.22,-71.18,-214.78,-634.85
Cash from Investing Activities,-7.76,-6.27,-71.20,-214.85,-635.03
Total Cash Dividends Paid,-138.96,-140.84,-141.83,-143.77,-95.73
"Issuance (Retirement) of Stock, Net",0,0,0.00,16.83,162.82
Cash from Financing Activities,-162.23,-163.31,-120.68,341.26,205.99
Foreign Exchange Effects,0,0,0.00,-0.19,2.05
Net Change in Cash,-9.97,-4.38,-27.04,306.69,-260.68
