Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.62,0.32,-4.71,0.92,-3.62
Depreciation/Depletion,0.00,0.76,0.68,1.01,0.89
Non-Cash Items,0.00,0.58,2.08,0.69,0.66
Cash Taxes Paid,0.00,0.23,0.14,0.06,0.02
Changes in Working Capital,-0.10,-0.12,-1.17,-4.53,0.76
Cash from Operating Activities,-0.72,1.55,-3.12,-1.91,-1.31
Capital Expenditures,0.00,-0.33,-1.47,-0.77,-0.10
"Other Investing Cash Flow Items, Total",0.00,-0.33,8.98,-0.02,0.10
Cash from Investing Activities,0.00,-0.66,7.51,-0.79,-0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.00,-1.21,-4.37,2.67,1.28
Foreign Exchange Effects,0,-0.00,-0.01,0.00,-0.00
Net Change in Cash,-0.72,-0.32,0.01,-0.02,-0.03
