Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-10.32,8.68,8.49,1.21,-1.86
Depreciation/Depletion,10.41,7.59,4.51,12.29,10.53
Non-Cash Items,5.32,-3.86,-1.77,1.04,2.56
Cash Taxes Paid,1.29,1.97,3.54,2.71,2.38
Changes in Working Capital,8.67,4.52,-5.94,0.72,-2.20
Cash from Operating Activities,14.07,16.91,5.28,15.25,9.02
Capital Expenditures,-4.23,-3.20,-3.12,-9.64,-0.33
"Other Investing Cash Flow Items, Total",-0.93,-1.14,-3.59,-2.66,-1.02
Cash from Investing Activities,-5.16,-4.34,-6.71,-12.31,-1.35
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,1.10,0.00,0
Cash from Financing Activities,-6.94,-4.00,-5.21,-5.86,2.73
Foreign Exchange Effects,0.01,-0.01,-0.01,-0.00,0.00
Net Change in Cash,1.99,8.56,-6.64,-2.91,10.40
