Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,81.09,129.11,0,490.27,269.09
Short Term Investments,638.50,546.91,121.66,107.90,595.61
Cash and Short Term Investments,719.59,676.02,481.16,598.17,864.69
"Accounts Receivable - Trade, Net",108.73,85.59,292.86,76.27,77.24
"Total Receivables, Net",131.29,306.18,292.86,138.24,133.73
Prepaid Expenses,5.66,8.25,0,9.17,10.56
"Other Current Assets, Total",8.92,19.47,0.04,0.02,0.00
Total Current Assets,886.69,1031.80,796.70,769.07,1029.05
"Property/Plant/Equipment, Total - Gross",999.45,1063.64,0,978.24,972.30
"Accumulated Depreciation, Total",-779.93,-828.60,0,-790.22,-746.68
"Property/Plant/Equipment, Total - Net",219.52,235.04,190.65,188.02,225.63
"Goodwill, Net",60.56,129.58,0,89.56,77.97
"Intangibles, Net",88.75,74.86,176.03,51.63,53.79
Long Term Investments,4682.43,4625.99,4744.07,5755.70,7216.85
Total Assets,5943.89,6106.41,6154.21,7107.39,8849.73
Accounts Payable,32.27,28.24,0,22.29,27.56
Accrued Expenses,123.71,119.76,0,107.19,114.06
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",147.35,141.24,49.62,136.51,167.23
Total Current Liabilities,403.29,1260.93,575.00,676.99,1594.89
Total Long Term Debt,1197.40,528.04,1312.51,1646.01,2191.17
Total Debt,1297.35,1499.74,1607.36,2057.01,3477.22
Deferred Income Tax,47.37,49.19,33.09,34.43,42.05
"Other Liabilities, Total",54.43,44.92,42.18,42.81,69.67
Total Liabilities,2426.56,2618.01,2723.93,3468.42,5083.71
"Common Stock, Total",522.81,522.81,522.81,522.81,522.81
Retained Earnings (Accumulated Deficit),2570.31,2645.86,2577.61,2890.15,2666.06
Treasury Stock - Common,-8.68,-7.38,-7.10,-13.23,-20.73
Unrealised Gain (Loss),443.95,337.96,338.16,105.26,124.29
"Other Equity, Total",-11.06,-10.84,-1.20,133.98,473.59
Total Equity,3517.33,3488.40,3430.28,3638.97,3766.01
Total Liabilities & Shareholders' Equity,5943.89,6106.41,6154.21,7107.39,8849.73
Total Common Shares Outstanding,1614.80,1614.97,1614.72,1617.01,1617.01
"Tangible Book Value per Share, Common Eq",2.09,2.03,2.02,2.16,2.25
