Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,503.69,513.50,491.72,313.63,213.47
Total Revenue,503.69,513.50,491.72,313.63,213.47
"Selling/General/Admin. Expenses, Total",27.85,27.28,25.20,23.93,21.82
Depreciation/Amortisation,0,0.46,0.58,0.46,0.29
Unusual Expense (Income),0,0,0,0,5.33
"Other Operating Expenses, Total",-0.18,-0.49,-0.52,-0.07,-6.44
Total Operating Expense,492.73,503.05,485.00,304.93,216.97
Operating Income,10.96,10.44,6.72,8.69,-3.49
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.67,-0.56,-0.63,-1.43,-1.66
"Other, Net",0,0,0,0,0
Net Income Before Taxes,10.29,9.88,6.09,7.26,-5.16
Provision for Income Taxes,2.64,1.63,1.79,1.88,0.46
Net Income After Taxes,7.66,8.26,4.30,5.38,-5.62
Net Income Before Extra. Items,7.66,8.17,4.00,5.37,-5.62
Net Income,7.66,8.17,4.00,5.37,-5.62
Income Available to Com Excl ExtraOrd,7.66,8.17,4.00,5.37,-5.62
Income Available to Com Incl ExtraOrd,7.66,8.17,4.00,5.37,-5.62
Diluted Net Income,7.66,8.17,4.00,5.37,-5.62
Diluted Weighted Average Shares,454.21,455.20,456.34,456.86,453.21
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,0.01,-0.01
DPS - Common Stock Primary Issue,0.02,0.02,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.02,0.01,0.01,-0.01
