Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,400.65,737.85,521.90,322.22,329.53
Depreciation/Depletion,62.61,72.61,85.36,139.74,145.59
Non-Cash Items,330.17,-142.55,57.71,259.44,87.23
Cash Taxes Paid,174.29,191.30,132.07,165.28,121.87
Changes in Working Capital,-215.54,-563.55,-30.79,-332.05,-423.45
Cash from Operating Activities,577.89,104.36,634.18,389.35,138.90
Capital Expenditures,-146.67,-177.15,-28.33,-172.65,-189.58
"Other Investing Cash Flow Items, Total",-564.12,-212.71,-45.17,-212.67,1.00
Cash from Investing Activities,-710.78,-389.86,-73.50,-385.32,-188.58
Total Cash Dividends Paid,0,-12.20,0.00,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,204.98,0.00,35.52
Cash from Financing Activities,70.80,305.03,-34.36,-47.94,35.61
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-62.10,19.53,526.31,-43.92,-14.08
