Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3313.90,3509.61,3470.54,3531.11,2934.48
Total Revenue,3313.90,3509.61,3470.54,3531.11,2934.48
"Selling/General/Admin. Expenses, Total",647.40,854.21,532.21,606.10,498.82
Depreciation/Amortisation,23.55,32.17,42.27,76.79,72.22
Unusual Expense (Income),5.57,19.04,4.53,132.32,-3.98
"Other Operating Expenses, Total",-2.88,1.53,2.06,10.25,5.17
Total Operating Expense,2594.35,2861.17,2887.21,3144.21,2540.09
Operating Income,719.56,648.44,583.33,386.90,394.39
"Interest Inc.(Exp.),Net-Non-Op., Total",-318.91,89.41,-61.43,-64.69,-64.87
"Other, Net",0,0,0,0,0
Net Income Before Taxes,400.65,737.85,521.90,322.22,329.53
Provision for Income Taxes,194.58,160.77,166.08,168.45,121.00
Net Income After Taxes,206.07,577.08,355.83,153.76,208.53
Net Income Before Extra. Items,206.67,577.55,355.96,154.20,209.11
Net Income,206.67,577.55,355.96,154.20,209.11
Income Available to Com Excl ExtraOrd,206.67,577.55,355.96,154.20,209.11
Income Available to Com Incl ExtraOrd,206.67,577.55,355.96,154.20,209.11
Diluted Net Income,206.67,577.55,355.96,154.20,209.11
Diluted Weighted Average Shares,742.69,747.58,937.92,980.20,1056.03
Diluted EPS Excluding ExtraOrd Items,0.28,0.77,0.38,0.16,0.20
DPS - Common Stock Primary Issue,0.02,0,0,0,0
Diluted Normalised EPS,0.28,0.79,0.38,0.22,0.20
