Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3439.59,4026.64,4320.87,3791.94,3597.01
Total Revenue,3439.59,4026.64,4320.87,3791.94,3597.01
"Selling/General/Admin. Expenses, Total",259.39,288.79,377.83,447.68,493.11
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-12.38,15.52,156.00,115.65,160.90
"Other Operating Expenses, Total",-6.83,-3.94,-3.33,-6.55,-61.56
Total Operating Expense,2659.55,3137.80,3382.89,2901.91,2732.39
Operating Income,780.05,888.84,937.99,890.04,864.62
"Interest Inc.(Exp.),Net-Non-Op., Total",180.30,359.18,589.03,463.09,-59.69
"Other, Net",0,0,0,0,0
Net Income Before Taxes,960.34,1248.02,1527.02,1353.13,804.92
Provision for Income Taxes,194.20,215.73,341.06,286.14,286.13
Net Income After Taxes,766.15,1032.29,1185.96,1066.99,518.79
Net Income Before Extra. Items,597.22,689.12,749.63,560.30,188.13
Net Income,597.22,689.12,749.63,560.30,188.13
Income Available to Com Excl ExtraOrd,532.76,623.84,670.36,465.09,111.65
Income Available to Com Incl ExtraOrd,532.76,623.84,670.36,465.09,111.65
Diluted Net Income,532.76,623.84,670.36,465.09,111.65
Diluted Weighted Average Shares,2920.30,2930.21,2936.49,2945.13,2961.16
Diluted EPS Excluding ExtraOrd Items,0.18,0.21,0.23,0.16,0.04
DPS - Common Stock Primary Issue,0.09,0.09,0.09,0.06,0.02
Diluted Normalised EPS,0.18,0.22,0.27,0.19,0.07
