Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,70.25,147.68,130.71,133.22,-40.75
Depreciation/Depletion,0.21,0.21,0.18,0.18,0.10
Non-Cash Items,60.82,-15.10,4.80,77.15,275.94
Cash Taxes Paid,8.60,17.03,16.92,12.67,12.15
Changes in Working Capital,-3.91,-15.22,-8.32,-54.99,-5.93
Cash from Operating Activities,131.83,122.02,132.66,160.86,234.36
Capital Expenditures,-0.03,-0.25,-0.07,-0.06,-0.06
"Other Investing Cash Flow Items, Total",-1.25,-19.19,-938.74,-57.99,-6.94
Cash from Investing Activities,-1.28,-19.43,-938.82,-58.05,-7.00
Total Cash Dividends Paid,-65.40,-66.86,-69.26,-100.62,-113.46
"Issuance (Retirement) of Stock, Net",0.00,150.00,587.53,0.00,0
Cash from Financing Activities,-124.72,-91.16,803.46,-79.45,-200.50
Foreign Exchange Effects,-0.70,-0.39,-0.54,-1.02,2.24
Net Change in Cash,5.13,11.04,-3.24,22.34,29.10
