Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,328.22,369.79,380.73,736.79,107.73
Depreciation/Depletion,24.07,22.59,23.10,34.57,49.94
Non-Cash Items,-4.33,-58.68,-120.04,-479.19,96.43
Cash Taxes Paid,44.25,43.36,37.76,53.31,41.85
Changes in Working Capital,-106.34,518.90,85.36,142.08,-60.09
Cash from Operating Activities,241.61,852.60,369.14,434.25,194.01
Capital Expenditures,-5.94,-7.75,-6.37,-12.34,-27.88
"Other Investing Cash Flow Items, Total",-50.93,-28.85,-168.21,-71.30,-41.03
Cash from Investing Activities,-56.87,-36.60,-174.57,-83.65,-68.91
Total Cash Dividends Paid,-3.53,-5.19,-42.97,-50.14,-57.31
"Issuance (Retirement) of Stock, Net",0.06,1.58,1.10,0.11,0.20
Cash from Financing Activities,-170.47,-725.99,-124.81,-416.14,-125.15
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,14.27,90.00,69.76,-65.53,-0.05
