Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,111.14,816.45,277.17,327.24,662.91
Short Term Investments,190.37,0,400.00,390.13,314.03
Cash and Short Term Investments,301.51,816.45,677.17,717.38,976.94
"Accounts Receivable - Trade, Net",96.54,395.30,560.14,385.07,257.23
"Total Receivables, Net",99.75,395.52,575.77,401.66,308.42
Prepaid Expenses,26.16,0,44.93,35.37,22.70
"Other Current Assets, Total",1.63,75.25,8.15,18.15,39.57
Total Current Assets,1625.71,4144.43,4936.68,4481.48,4506.40
"Property/Plant/Equipment, Total - Gross",1800.70,0,3585.25,3671.17,3872.74
"Accumulated Depreciation, Total",-635.16,0,-777.57,-801.39,-961.07
"Property/Plant/Equipment, Total - Net",1165.54,2856.16,2807.69,2869.77,2911.67
"Goodwill, Net",11.20,0,33.73,33.07,34.77
"Intangibles, Net",13.16,180.95,88.96,10.90,8.97
Long Term Investments,8646.31,12335.52,12621.14,13063.81,12628.22
Total Assets,11594.81,19612.54,20620.36,20653.77,20373.49
Accounts Payable,69.54,0,163.20,150.31,156.09
Accrued Expenses,77.76,0,11.06,11.44,195.68
Notes Payable/Short Term Debt,0.00,972.81,0.00,0.00,0.00
"Other Current liabilities, Total",128.31,108.96,735.93,656.28,314.46
Total Current Liabilities,1004.29,2009.37,2753.33,2510.96,2336.77
Total Long Term Debt,1680.77,2874.17,2866.68,3258.65,3455.78
Total Debt,2409.44,3846.98,4709.82,4951.58,5126.32
Deferred Income Tax,95.12,369.62,357.45,331.67,258.56
"Other Liabilities, Total",166.21,222.21,209.26,218.21,221.23
Total Liabilities,3455.85,10172.84,10999.31,10606.29,10585.35
"Common Stock, Total",1269.85,1549.74,1556.20,1560.92,1563.86
Retained Earnings (Accumulated Deficit),6263.00,7889.95,7339.19,7682.94,7562.48
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),609.75,0,761.50,859.57,685.97
"Other Equity, Total",-3.64,0,-35.84,-55.95,-24.16
Total Equity,8138.96,9439.69,9621.05,10047.48,9788.14
Total Liabilities & Shareholders' Equity,11594.81,19612.54,20620.36,20653.77,20373.49
Total Common Shares Outstanding,804.61,841.64,842.68,843.42,843.89
"Tangible Book Value per Share, Common Eq",10.09,11.00,11.27,11.86,11.55
