Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,72.52,58.64,58.50,51.32,40.97
Total Revenue,72.52,58.64,58.50,51.32,40.97
"Selling/General/Admin. Expenses, Total",18.24,19.41,19.28,20.30,15.62
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,-0.50
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,51.31,49.23,48.50,50.22,36.21
Operating Income,21.21,9.42,10.01,1.10,4.76
"Interest Inc.(Exp.),Net-Non-Op., Total",0.87,0.16,0.14,-0.66,-0.71
"Other, Net",-0.11,-0.14,0,0,-0.05
Net Income Before Taxes,21.97,9.43,10.15,0.44,4.01
Provision for Income Taxes,3.99,3.67,2.55,1.81,1.64
Net Income After Taxes,17.98,5.76,7.60,-1.37,2.37
Net Income Before Extra. Items,17.98,5.76,7.60,-1.37,2.37
Net Income,17.98,5.76,7.60,-1.37,2.37
Income Available to Com Excl ExtraOrd,17.98,5.76,7.60,-1.37,2.37
Income Available to Com Incl ExtraOrd,17.98,5.76,7.60,-1.37,2.37
Diluted Net Income,17.98,5.76,7.60,-1.37,2.37
Diluted Weighted Average Shares,350.07,351.26,350.92,350.60,350.06
Diluted EPS Excluding ExtraOrd Items,0.05,0.02,0.02,-0.00,0.01
DPS - Common Stock Primary Issue,0.04,0.03,0.02,0.01,0.00
Diluted Normalised EPS,0.05,0.02,0.02,-0.00,0.01
