Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,1384.12,2010.00,1601.00,1387.00,731.00
Short Term Investments,519.72,728.00,323.00,380.00,308.00
Cash and Short Term Investments,1903.84,2738.00,1924.00,1767.00,1039.00
"Accounts Receivable - Trade, Net",1199.23,1997.00,2402.00,2745.00,945.00
"Total Receivables, Net",1676.77,2379.00,2994.00,3202.00,1452.00
Prepaid Expenses,76.69,74.00,105.00,99.00,45.00
"Other Current Assets, Total",296.87,2503.00,567.00,414.00,211.00
Total Current Assets,7624.23,8492.00,6324.00,6095.00,3004.00
"Property/Plant/Equipment, Total - Gross",14572.14,14999.00,15962.00,17011.00,10549.00
"Accumulated Depreciation, Total",-3346.22,-3841.00,-4290.00,-4808.00,-3345.00
"Property/Plant/Equipment, Total - Net",11225.92,11158.00,11672.00,12203.00,7204.00
"Goodwill, Net",224.73,198.00,272.00,209.00,159.00
"Intangibles, Net",412.27,383.00,507.00,421.00,189.00
Long Term Investments,1968.48,1989.00,1959.00,1911.00,1794.00
Total Assets,22290.24,23745.00,23321.00,23252.00,13562.00
Accounts Payable,2318.08,1122.00,1108.00,1034.00,335.00
Accrued Expenses,900.96,1662.00,1613.00,1544.00,594.00
Notes Payable/Short Term Debt,16.79,0.00,1.00,4.00,11.00
"Other Current liabilities, Total",670.91,1977.00,993.00,757.00,594.00
Total Current Liabilities,6015.54,6333.00,5576.00,6012.00,2127.00
Total Long Term Debt,7095.72,8275.00,8870.00,8627.00,7350.00
Total Debt,9221.30,9847.00,10732.00,11304.00,7954.00
Deferred Income Tax,402.43,428.00,425.00,348.00,294.00
"Other Liabilities, Total",613.83,535.00,512.00,386.00,315.00
Total Liabilities,15588.82,16801.00,16533.00,16381.00,10223.00
"Common Stock, Total",565.57,566.00,566.00,566.00,566.00
Retained Earnings (Accumulated Deficit),5509.49,5640.00,5873.00,6003.00,3332.00
Treasury Stock - Common,-5.49,0.00,-9.00,-4.00,-11.00
Unrealised Gain (Loss),20.77,27.00,34.00,74.00,60.00
"Other Equity, Total",611.07,711.00,324.00,232.00,-608.00
Total Equity,6701.42,6944.00,6788.00,6871.00,3339.00
Total Liabilities & Shareholders' Equity,22290.24,23745.00,23321.00,23252.00,13562.00
Total Common Shares Outstanding,1785.56,1787.50,1784.45,1785.58,1781.31
"Tangible Book Value per Share, Common Eq",3.40,3.56,3.37,3.50,1.68
