Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,537.48,844.61,1051.74,1195.08,1483.29
Depreciation/Depletion,14.99,14.96,16.74,23.55,26.76
Non-Cash Items,156.90,245.59,332.66,349.91,415.12
Cash Taxes Paid,133.79,73.86,148.33,135.26,207.59
Changes in Working Capital,-775.46,-1449.53,-2489.13,-2699.81,-3320.05
Cash from Operating Activities,20.20,-264.26,-1015.65,-1058.12,-1322.35
Capital Expenditures,-11.86,-231.15,-11.18,-17.89,-18.48
"Other Investing Cash Flow Items, Total",5.54,-159.71,-42.37,-116.13,-147.50
Cash from Investing Activities,-6.33,-390.86,-53.54,-134.02,-165.97
Total Cash Dividends Paid,-11.88,-12.35,-31.69,-29.28,-214.00
"Issuance (Retirement) of Stock, Net",-22.49,0.00,0,310.87,0.00
Cash from Financing Activities,142.36,1281.29,781.81,1563.19,1033.62
Foreign Exchange Effects,-85.38,88.85,-80.16,-25.67,105.30
Net Change in Cash,70.85,715.01,-367.54,345.38,-349.40
